Aerial,,,,Lateral,,,
t,x,y,frame,t,x,y,frame
31.03131,0.018505781,-0.031616296,5130,31.03131,0.045635929,-0.037206686,5130
31.36498,0.020922601,-0.030533616,5140,31.36498,0.04550697,-0.038531449,5140
31.69865,0.020697683,-0.032821912,5150,31.69865,0.045927064,-0.038795229,5150
32.03232,0.024030939,-0.032489425,5160,32.03232,0.046767253,-0.039322789,5160
32.36599,0.025788373,-0.028041358,5170,32.36599,0.047202979,-0.037136345,5170
32.69966,0.030756126,-0.027869526,5180,32.69966,0.047310445,-0.036032376,5180
33.03333,0.038306943,-0.028281643,5190,33.03333,0.048301086,-0.03501438,5190
33.367,0.04441605,-0.026571707,5200,33.367,0.049733315,-0.03403937,5200
33.70067,0.043601596,-0.028141942,5210,33.70067,0.052781442,-0.034781862,5210
34.03434,0.04344094,-0.029776439,5220,34.03434,0.053314864,-0.036171105,5220
34.36801,0.039914897,-0.032070323,5230,34.36801,0.04603453,-0.03769126,5230
34.70168,0.037498077,-0.033153003,5240,34.70168,0.044483112,-0.035311376,5240
35.03535,0.036812147,-0.03341564,5250,35.03535,0.043740619,-0.038359503,5250
35.36902,0.036812147,-0.03341564,5260,35.36902,0.041419354,-0.037019109,5260
35.70269,0.037889239,-0.032531335,5270,35.70269,0.044084511,-0.034826802,5270
36.03636,0.039196836,-0.032659859,5280,36.03636,0.048871633,-0.033732603,5280
36.37003,0.044132458,-0.032814927,5290,36.37003,0.051548513,-0.035999159,5290
36.7037,0.043811147,-0.036083921,5300,36.7037,0.053439915,-0.041755429,5300
37.03737,0.042305174,-0.034615668,5310,37.03737,0.053256246,-0.039062917,5310
37.37104,0.032396211,-0.031331307,5320,37.37104,0.050073298,-0.037415756,5320
37.70471,0.03059547,-0.029504023,5330,37.70471,0.043271677,-0.036307879,5330
38.03838,0.029357723,-0.032022825,5340,38.03838,0.041946914,-0.03617892,5340
38.37205,0.027974687,-0.025945849,5350,38.37205,0.03924854,-0.034133158,5350
38.70572,0.029089498,-0.02803577,5360,38.70572,0.03768149,-0.0342035,5360
39.03939,0.029089498,-0.02803577,5370,39.03939,0.041477971,-0.034127296,5370
39.37306,0.031179419,-0.026920959,5380,39.37306,0.043594075,-0.032995972,5380
39.70673,0.032813916,-0.027081615,5390,39.70673,0.043394774,-0.032753685,5390
40.0404,0.03471105,-0.0279282,5400,40.0404,0.042554585,-0.032226125,5400
40.37407,0.036179303,-0.026422228,5410,40.37407,0.044207608,-0.031272608,5410
40.70774,0.036109453,-0.023774901,5420,40.70774,0.045219742,-0.030033818,5420
41.04141,0.034474956,-0.023614246,5430,41.04141,0.045241236,-0.029813025,5430
41.37508,0.028103212,-0.024638251,5440,41.37508,0.043943828,-0.031692703,5440
41.70875,0.024218138,-0.027226903,5450,41.70875,0.042894569,-0.035602512,5450
42.04242,0.02399322,-0.029515199,5460,42.04242,0.041042246,-0.036313741,5460
42.37609,0.024454232,-0.031540858,5470,42.37609,0.039717483,-0.036184782,5470
42.70976,0.024973918,-0.029611592,5480,42.70976,0.039496689,-0.036163289,5480
43.04343,0.024973918,-0.029611592,5490,43.04343,0.041042246,-0.036313741,5490
43.3771,0.024973918,-0.029611592,5500,43.3771,0.041149712,-0.035209772,5500
43.71077,0.025032593,-0.025656668,5510,43.71077,0.04238264,-0.033992475,5510
44.04444,0.025032593,-0.025656668,5520,44.04444,0.042953187,-0.032710699,5520
44.37811,0.028269455,-0.026304879,5530,44.37811,0.043259953,-0.031849017,5530
44.71178,0.032878178,-0.026427816,5540,44.71178,0.045930972,-0.031886142,5540
45.04545,0.035359261,-0.024691337,5550,45.04545,0.048580498,-0.03214406,5550
45.37912,0.039416166,-0.027070439,5560,45.37912,0.050567642,-0.032337499,5560
45.71279,0.044319657,-0.027552406,5570,45.71279,0.052910401,-0.033457099,5570
46.04646,0.042653029,-0.027718649,5580,46.04646,0.056007376,-0.035987435,5580
46.38013,0.040729352,-0.030500088,5590,46.38013,0.056454825,-0.038259853,5590
46.7138,0.039587998,-0.032038192,5600,46.7138,0.052201125,-0.040743295,5600
47.04747,0.033511022,-0.033421228,5610,47.04747,0.049600448,-0.04227322,5610
47.38114,0.028677381,-0.035586587,5620,47.38114,0.046159582,-0.043275585,5620
47.71481,0.022043,-0.035924662,5630,47.71481,0.040756972,-0.036954629,5630
48.04848,0.02013469,-0.028475827,5640,48.04848,0.037751832,-0.035770549,5640
48.38215,0.017128333,-0.028840445,5650,48.38215,0.037558393,-0.037757694,5650
48.71582,0.017096202,-0.029167345,5660,48.71582,0.032544615,-0.036600969,5660
49.04949,0.017058482,-0.026193119,5670,49.04949,0.035764688,-0.035577111,5670
